,DeID,Transfer Status,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,Primary Instructor (3rd Week),Enrollment Flag (3rd Week),Enrollment Flag (End of Term),Grade (End of Term)
0,05TMV7T8,False,100.0,91.3666667,100.0,100.0,94.66666670000001,100.0,100.0,100.0,83.125,"Gillespie, Gary N                  ",Y,Y,A+ 
3,0NTV796A,False,100.0,74.7,95.1,95.0,90.36,98.33,96.24000000000001,100.0,93.28,"Gillespie, Gary N                  ",Y,Y,A  
5,0W62IGWW,False,100.0,96.0666667,100.0,67.5,84.0533333,93.33,100.0,86.80666670000001,89.345,"Gillespie, Gary N                  ",Y,Y,A- 
6,0XE9LD9K,False,96.0,0.0,0.0,36.25,47.44,58.32000000000001,41.888000000000005,72.4066667,99.245,"Gillespie, Gary N                  ",Y,Y,B- 
8,1H6IN61T,False,100.0,92.1666667,82.2666667,72.5,59.20000000000001,88.77000000000001,98.4,95.4066667,99.245,"Gillespie, Gary N                  ",Y,Y,B+ 
9,1JMPU89A,False,100.0,72.36666670000001,68.16666670000001,38.75,55.559999999999995,78.63,34.56,82.19333329999999,43.53,"Gillespie, Gary N                  ",Y,Y,C  
10,25JF6B0Z,False,100.0,87.83333329999999,79.83333329999999,87.5,96.0533333,100.0,94.504,98.4266667,91.91,"Gillespie, Gary N                  ",Y,Y,A  
11,2CDZON7O,False,96.0,85.5,96.66666670000001,97.5,89.33333329999999,82.87,66.872,77.0,97.19,"Gillespie, Gary N                  ",Y,Y,A  
12,2HUBSS5B,False,100.0,96.66666670000001,96.66666670000001,100.0,99.33333329999999,97.5,100.0,82.19333329999999,99.245,"Gillespie, Gary N                  ",Y,Y,A  
13,2KZCGJR4,False,100.0,83.1333333,54.5666667,98.75,26.613333300000004,34.28,93.448,88.0266667,61.135,"Gillespie, Gary N                  ",Y,Y,B+ 
14,2RY0Q89X,False,100.0,100.0,96.3,100.0,89.7733333,94.72,96.8,100.0,93.2,"Gillespie, Gary N                  ",Y,Y,A+ 
16,348SI940,False,100.0,93.1333333,88.9333333,93.75,82.77333329999999,73.17,96.24000000000001,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A  
17,37J2SSVO,False,100.0,65.8666667,50.0,37.5,13.28,69.13,71.544,14.24,71.965,"Gillespie, Gary N                  ",Y,Y,D  
19,3CGOB2B6,False,100.0,89.4,83.5,98.75,94.66666670000001,85.49,92.496,97.3333333,89.565,"Gillespie, Gary N                  ",Y,Y,B+ 
23,41UJMB2I,False,100.0,82.4666667,83.8666667,82.5,85.3866667,84.6,94.368,87.66666670000001,90.435,"Gillespie, Gary N                  ",Y,Y,A  
24,45FB3QKP,False,100.0,89.2,90.8666667,68.75,74.7733333,87.02,89.944,84.2866667,69.685,"Gillespie, Gary N                  ",Y,Y,C+ 
25,4CPL38QS,False,100.0,75.86666670000001,72.2666667,76.25,30.28,69.7,91.2,91.0933333,95.675,"Gillespie, Gary N                  ",Y,Y,C+ 
26,4O8K90O1,False,100.0,86.0666667,90.1666667,97.5,90.1066667,91.13,91.16799999999999,95.5266667,97.735,"Gillespie, Gary N                  ",Y,Y,B  
28,52CA6S32,False,100.0,80.2,90.0,97.5,89.33333329999999,93.52000000000001,89.28799999999998,89.28666670000001,99.5,"Gillespie, Gary N                  ",Y,Y,A  
29,54ARLTY1,False,100.0,88.0333333,100.0,100.0,100.0,100.0,99.2,95.38,90.22,"Gillespie, Gary N                  ",Y,Y,A  
30,54W77V16,False,100.0,89.8,92.6333333,78.75,89.3866667,95.77,99.2,90.57333329999999,94.92,"Gillespie, Gary N                  ",Y,Y,A  
31,55QIRZHX,False,100.0,58.4333333,100.0,100.0,35.72,97.44,96.24000000000001,81.38,91.22,"Gillespie, Gary N                  ",Y,Y,B  
33,5DYXUX9U,False,100.0,93.7333333,78.0666667,92.5,100.0,93.56,99.064,98.0,100.0,"Gillespie, Gary N                  ",Y,Y,A+ 
35,5IAUHG1Q,False,100.0,71.66666670000001,60.8,58.75,62.613333299999994,94.61,98.11999999999999,96.86,97.19,"Gillespie, Gary N                  ",Y,Y,B+ 
36,5NKAH4JP,False,100.0,93.33333329999999,100.0,100.0,100.0,92.75,95.2,100.0,100.0,"Gillespie, Gary N                  ",Y,Y,A  
37,670GYX4X,False,100.0,68.0333333,81.5666667,92.5,100.0,96.72,91.68799999999999,100.0,98.49,"Gillespie, Gary N                  ",Y,Y,A  
38,68JXC9HT,False,100.0,78.4333333,81.4,85.0,52.77333329999999,76.98,93.984,97.3333333,89.105,"Gillespie, Gary N                  ",Y,Y,Grade Pending
39,6AK1X60N,False,100.0,72.4666667,74.2,71.25,89.3866667,83.61,86.872,53.786666700000005,99.5,"Gillespie, Gary N                  ",Y,Y,B  
40,6HMFTTJE,False,0.0,0.0,93.8666667,81.25,77.36,69.74000000000001,36.904,71.9733333,57.96,"Gillespie, Gary N                  ",Y,Y,C+ 
42,6QW7KUDB,False,100.0,87.83333329999999,97.53333330000001,100.0,42.8666667,95.39,63.432,98.4266667,69.3,"Gillespie, Gary N                  ",Y,Y,B  
43,6U9SMNMO,False,100.0,72.36666670000001,76.5,42.5,26.666666699999997,54.31,90.60799999999999,67.74,64.285,"Gillespie, Gary N                  ",Y,Y,B  
